image_id,path,question,answer,difficulty
71UgkuYKfNL,07/07f55a8c.jpg,What device is the case for?,Samsung,0
71UgkuYKfNL,07/07f55a8c.jpg,What feature has perfect cutouts?,Buttons,0
71UgkuYKfNL,07/07f55a8c.jpg,What type of material is the case?,Hard,0
71UgkuYKfNL,07/07f55a8c.jpg,What adjective describes the design?,Stylish,2
71UgkuYKfNL,07/07f55a8c.jpg,How many colors are on the case?,Two,1
71LGmQ-DG+L,a9/a9eb6aa8.jpg,What material is the back case made of?,Hard,0
71LGmQ-DG+L,a9/a9eb6aa8.jpg,What device is the case designed for?,Nokia,0
71LGmQ-DG+L,a9/a9eb6aa8.jpg,What type of design is featured?,Stylish,0
71LGmQ-DG+L,a9/a9eb6aa8.jpg,What feature protects the camera lens?,Bezel,1
71LGmQ-DG+L,a9/a9eb6aa8.jpg,How many cutouts are mentioned?,Three,2
71tfjJBEEWL,7f/7f2315d1.jpg,What flower is on the case?,Hydrangea,1
71tfjJBEEWL,7f/7f2315d1.jpg,What is the case described as?,Hard,0
71tfjJBEEWL,7f/7f2315d1.jpg,Which brand is the phone cover for?,Oppo,0
71tfjJBEEWL,7f/7f2315d1.jpg,What type of cutouts are present?,Volume,0
71tfjJBEEWL,7f/7f2315d1.jpg,What is the case's warranty?,,1
81dMfN1ehNL,7f/7fe81d7f.jpg,What color is the phone case?,Golden,0
81dMfN1ehNL,7f/7fe81d7f.jpg,With what brand is the case compatible?,Realme,1
81dMfN1ehNL,7f/7fe81d7f.jpg,What part of the phone does the raised bezel protect?,Camera,0
81dMfN1ehNL,7f/7fe81d7f.jpg,What is specifically cut out for volume control?,Buttons,1
81dMfN1ehNL,7f/7fe81d7f.jpg,What is missing from this product?,Warranty,1
81ug-drv3zL,98/98274545.jpg,What material is the back case?,Hard,0
81ug-drv3zL,98/98274545.jpg,What type of device is this cover for?,Mobile,0
81ug-drv3zL,98/98274545.jpg,What brand phone is the case for?,LG,2
81ug-drv3zL,98/98274545.jpg,What kind of style does it express?,Personality,0
81ug-drv3zL,98/98274545.jpg,What characteristic protects the screen?,Bezel,1
81Y8sgvUJRL,10/10e2c098.jpg,What brand is the phone case designed for?,Samsung,2
