image_id,path,question,answer,difficulty
81h53HJG3SL,5f/5f3e8a1d.jpg,What material are the straps made of?,Velvet,1
81h53HJG3SL,5f/5f3e8a1d.jpg,What is the style of the heel?,Block,0
81h53HJG3SL,5f/5f3e8a1d.jpg,What kind of closure does the sandal have?,Buckle,0
81h53HJG3SL,5f/5f3e8a1d.jpg,How high is the heel?,Four,1
81h53HJG3SL,5f/5f3e8a1d.jpg,What is the sandal's base?,Platform,0
71b5bvMCmJL,eb/eb27ed97.jpg,What animal is featured on the phone case?,Dog,0
71b5bvMCmJL,eb/eb27ed97.jpg,What is the case made of?,Plastic,0
71b5bvMCmJL,eb/eb27ed97.jpg,What color is the featured animal?,White,2
71b5bvMCmJL,eb/eb27ed97.jpg,For what brand of phone is the case designed?,Vivo,1
71b5bvMCmJL,eb/eb27ed97.jpg,What is the cover's style?,Stylish,0
71nIK+5xP8L,18/1861aba3.jpg,What material is the back case made of?,Hard,0
71nIK+5xP8L,18/1861aba3.jpg,What brand of phone is the cover designed for?,Sony,2
71nIK+5xP8L,18/1861aba3.jpg,What is the model name of the Sony phone?,Xperia,0
71nIK+5xP8L,18/1861aba3.jpg,How many dimensions is the cover described to be?,Three,0
71nIK+5xP8L,18/1861aba3.jpg,What color is the majority of the floral design?,Pink,0
81psXh9TcdL,08/086c79d9.jpg,What is the compatible phone model?,F5,0
81psXh9TcdL,08/086c79d9.jpg,What are the cutouts designed for?,Ports,0
81psXh9TcdL,08/086c79d9.jpg,What describes the design's appearance?,Stylish,1
81psXh9TcdL,08/086c79d9.jpg,What covers the back of the device?,Wood,0
81psXh9TcdL,08/086c79d9.jpg,What protects the screen on flat surfaces?,Bezel,0
B1AqlXvLRXS,a0/a06396f8.jpg,What color is the depicted texture?,Grey,0
B1AqlXvLRXS,a0/a06396f8.jpg,What material is this texture typically used for?,Upholstery,1
B1AqlXvLRXS,a0/a06396f8.jpg,What is the surface quality of this texture?,Rough,0
B1AqlXvLRXS,a0/a06396f8.jpg,What pattern is visible in this texture?,Weave,0
B1AqlXvLRXS,a0/a06396f8.jpg,What is a common use for textiles with this texture?,Clothing,1
71HLLgGG6SL,93/930d53ce.jpg,What kind of cover is it?,Hard,0
71HLLgGG6SL,93/930d53ce.jpg,Which Micromax model is the case for?,Q416,0
71HLLgGG6SL,93/930d53ce.jpg,How is the design described?,Stylish,0
