image_id,path,question,answer,difficulty
81w4djaahiL,99/999d7982.jpg,What material is the sole made of?,Rubber,0
81w4djaahiL,99/999d7982.jpg,What is the slipper’s style?,Clog,0
81w4djaahiL,99/999d7982.jpg,What kind of foam does the slipper use?,Memory,1
81w4djaahiL,99/999d7982.jpg,What is the color of the slipper?,Gray,1
81w4djaahiL,99/999d7982.jpg,How many layers of foam are featured?,Two,2
81QcXphrm6L,8b/8b6f9ce6.jpg,What color are the clouds?,White,0
81QcXphrm6L,8b/8b6f9ce6.jpg,What is the overall pattern?,Unicorn,1
81QcXphrm6L,8b/8b6f9ce6.jpg,How many colors are in the rainbow?,Seven,0
81QcXphrm6L,8b/8b6f9ce6.jpg,What is the case's material?,Hard,0
81QcXphrm6L,8b/8b6f9ce6.jpg,What shape are some of the decorations?,Hearts,0
71RVjY24xKL,9c/9c99ea8b.jpg,What pattern is on the material?,Stripes,1
71RVjY24xKL,9c/9c99ea8b.jpg,What is the color of the background?,White,0
71RVjY24xKL,9c/9c99ea8b.jpg,What is the material?,Fabric,1
71RVjY24xKL,9c/9c99ea8b.jpg,What shape is the material?,Rectangular,2
71RVjY24xKL,9c/9c99ea8b.jpg,How many visible layers exist?,Two,1
81I6zks+yWL,94/94d3cad7.jpg,What food is in the jar?,Sugar,0
81I6zks+yWL,94/94d3cad7.jpg,What color is the sugar?,Orange,0
81I6zks+yWL,94/94d3cad7.jpg,What number is part of the brand name?,365,0
81I6zks+yWL,94/94d3cad7.jpg,What type of market sells this product?,Whole,0
81I6zks+yWL,94/94d3cad7.jpg,What is the color of the cap?,White,0
91XP-dVtMQL,59/59f37409.jpg,What item is pictured?,Scarf,1
91XP-dVtMQL,59/59f37409.jpg,What company is mentioned?,Amazon,1
91XP-dVtMQL,59/59f37409.jpg,What is the scarf's general hue?,Beige,0
91XP-dVtMQL,59/59f37409.jpg,What is a common fabric for scarves?,Wool,1
91XP-dVtMQL,59/59f37409.jpg,What is the texture like?,Textured,1
61CS5imUOCL,cf/cfdef084.jpg,What is the dominant color of the lamp's frame?,Yellow,1
61CS5imUOCL,cf/cfdef084.jpg,What extends from the lamp's body to connect to power?,Cord,0
61CS5imUOCL,cf/cfdef084.jpg,What general shape is the illuminated area?,Rectangle,1
61CS5imUOCL,cf/cfdef084.jpg,How many adjustment knobs are visible?,Two,0
61CS5imUOCL,cf/cfdef084.jpg,What type of grip is visible on the frame?,Handle,1
81I-lmaZHQL,9c/9cfc8911.jpg,What brand is the phone case designed for?,Samsung,0
81I-lmaZHQL,9c/9cfc8911.jpg,What feature is emphasized in the product description?,Cutouts,0
81I-lmaZHQL,9c/9cfc8911.jpg,What is considered a design aspect?,Appearance,0
81I-lmaZHQL,9c/9cfc8911.jpg,What phone model is compatible?,Ace,0
81I-lmaZHQL,9c/9cfc8911.jpg,What does the bezel protect?,Camera,1
618D1lDABmL,a2/a2c98d98.jpg,What pattern color adorns the wrapping paper?,Gold,0
618D1lDABmL,a2/a2c98d98.jpg,What material is used to make the gift wrapping?,Paper,0
618D1lDABmL,a2/a2c98d98.jpg,What food item is contained within the gift wrapping?,Chocolate,0
618D1lDABmL,a2/a2c98d98.jpg,What color is the ribbon?,Brown,1
618D1lDABmL,a2/a2c98d98.jpg,What is the overall shape of the gift?,Square,0
81kCCwNzx+L,31/31da81dc.jpg,What material is the backing laminated with?,Polyvinyl,1
81kCCwNzx+L,31/31da81dc.jpg,What is the primary material of the cover?,Polyester,1
81kCCwNzx+L,31/31da81dc.jpg,What shape corner sectionals does this fit?,Corner,0
81kCCwNzx+L,31/31da81dc.jpg,What weather is the cover designed to protect against?,Rain,0
81kCCwNzx+L,31/31da81dc.jpg,What secures the cover on windy days?,Straps,1
61OnkGVhMWL,35/3595924e.jpg,What company's brand is displayed?,Amazon,0
61OnkGVhMWL,35/3595924e.jpg,What is the color of the paper?,White,1
61OnkGVhMWL,35/3595924e.jpg,How many labels are on each sheet?,Thirty,0
61OnkGVhMWL,35/3595924e.jpg,What type of printer is required?,Laser,0
61OnkGVhMWL,35/3595924e.jpg,How many sheets are included?,Fifty,0
91sHzFYcjJL,f9/f9d04120.jpg,What is the upper material?,Fabric,1
91sHzFYcjJL,f9/f9d04120.jpg,What provides arch support?,Insole,1
91sHzFYcjJL,f9/f9d04120.jpg,What is the brand name?,Amazon,0
91sHzFYcjJL,f9/f9d04120.jpg,What type of foam is the insole?,Memory,0
91sHzFYcjJL,f9/f9d04120.jpg,What is the heel height in inches?,One,0
81x2OgqzjqS,39/39910b2b.jpg,What material is the seat made of?,Textilene,0
81x2OgqzjqS,39/39910b2b.jpg,What kind of cords attach the seat?,Bungee,2
81x2OgqzjqS,39/39910b2b.jpg,How many pounds can the chair hold?,250,3
81x2OgqzjqS,39/39910b2b.jpg,What is the frame made from?,Steel,2
81x2OgqzjqS,39/39910b2b.jpg,What is the closed length in inches?,36,1
71GdkaiIFcL,1d/1d7e0029.jpg,What is the size measurement along one side?,Forty,0
71GdkaiIFcL,1d/1d7e0029.jpg,What is the quantity of storage boxes in the package contents?,One,1
71GdkaiIFcL,1d/1d7e0029.jpg,What is the primary material?,Fabric,0
71GdkaiIFcL,1d/1d7e0029.jpg,What is one adjective to describe the box's quality?,Premium,0
71GdkaiIFcL,1d/1d7e0029.jpg,How many colors are used in the box?,Two,0
81Mm2Q4Kr+L,75/75af48a9.jpg,What flavor are the pecans?,Coffee,0
81Mm2Q4Kr+L,75/75af48a9.jpg,What weight is the product in ounces?,Five,0
81Mm2Q4Kr+L,75/75af48a9.jpg,What country are the pecans packed in?,USA,0
81Mm2Q4Kr+L,75/75af48a9.jpg,What is the bag's style?,Stand-up,0
81Mm2Q4Kr+L,75/75af48a9.jpg,What Amazon brand is it?,Wickedly,1
81eLD-nHqNL,0d/0d29f9cc.jpg,What color is the leftmost highlighter?,Turquoise,0
81eLD-nHqNL,0d/0d29f9cc.jpg,How many highlighters are in the pack?,Eight,0
81eLD-nHqNL,0d/0d29f9cc.jpg,What shape is the tip?,Wedge,0
81eLD-nHqNL,0d/0d29f9cc.jpg,What is the minimum line width in millimeters?,Two,0
81eLD-nHqNL,0d/0d29f9cc.jpg,What feature helps prevent the marker from rolling away?,Barrel,0
61ofIfXwhgL,b5/b5ee0ff2.jpg,What is the zipper's metal color?,Gold,0
61ofIfXwhgL,b5/b5ee0ff2.jpg,What is the background's general color?,White,2
61ofIfXwhgL,b5/b5ee0ff2.jpg,What is the strap's material?,Fabric,3
61ofIfXwhgL,b5/b5ee0ff2.jpg,What is the visible quantity of bags?,Four,0
61ofIfXwhgL,b5/b5ee0ff2.jpg,What adjective describes the topmost bag's shape?,Square,0
