image_id,path,question,answer,difficulty
61vCDgVNTGL,67/67b5c226.jpg,What initial is centered on the phone case?,R,0
61vCDgVNTGL,67/67b5c226.jpg,What brand is the phone case compatible with?,Samsung,0
61vCDgVNTGL,67/67b5c226.jpg,What color is the background around the letter?,Blue,1
61vCDgVNTGL,67/67b5c226.jpg,What feature is located on the top left of the case?,Camera,0
61vCDgVNTGL,67/67b5c226.jpg,What type of design is described as stylish?,Appearance,0
711Zxq2fUyL,1c/1cd39f7c.jpg,What material is the back cover made of?,Hard,0
711Zxq2fUyL,1c/1cd39f7c.jpg,Which brand is the phone case designed for?,Nokia,2
711Zxq2fUyL,1c/1cd39f7c.jpg,What type of cutouts are featured?,Volume,1
711Zxq2fUyL,1c/1cd39f7c.jpg,What is the design described as?,Stylish,0
711Zxq2fUyL,1c/1cd39f7c.jpg,What color is the case?,Black,1
71Eu2utLMmL,6c/6c45348e.jpg,What device is this case compatible with?,Wind,0
71Eu2utLMmL,6c/6c45348e.jpg,What part does the case not obstruct?,Buttons,2
71Eu2utLMmL,6c/6c45348e.jpg,What feature protects the screen?,Bezel,0
71Eu2utLMmL,6c/6c45348e.jpg,What adjective describes the design?,Stylish,0
71Eu2utLMmL,6c/6c45348e.jpg,What is easy to do with the case?,Attach,0
61+NA09uGeL,4f/4f0ebc4b.jpg,What object covers the phone?,Case,0
61+NA09uGeL,4f/4f0ebc4b.jpg,What brand phone is compatible?,Lenovo,0
61+NA09uGeL,4f/4f0ebc4b.jpg,What shape is repeated and black?,Bowtie,1
61+NA09uGeL,4f/4f0ebc4b.jpg,What color are some of the masks?,Pink,0
61+NA09uGeL,4f/4f0ebc4b.jpg,What component is circular and metallic?,Camera,0
712SiVYwp9L,00/00ac9435.jpg,What fruit is visible in the image?,Pomegranate,1
712SiVYwp9L,00/00ac9435.jpg,What type of cover is it?,Hard,1
712SiVYwp9L,00/00ac9435.jpg,Which brand phone is the case for?,LG,1
712SiVYwp9L,00/00ac9435.jpg,How many pomegranates are visible in the image?,Two,0
712SiVYwp9L,00/00ac9435.jpg,What is the central item depicted besides fruit?,Lamp,0
91tK7PQfruL,fd/fd26d809.jpg,What is the main color of the pens?,Blue,0
91tK7PQfruL,fd/fd26d809.jpg,What is the total number of pens shown?,Ten,0
91tK7PQfruL,fd/fd26d809.jpg,What brand name appears on the pens?,AmazonBasics,0
91tK7PQfruL,fd/fd26d809.jpg,What is the tip covering material?,Plastic,0
91tK7PQfruL,fd/fd26d809.jpg,What general type of writing utensil is shown?,Pen,0
712CR48rA+L,24/24a066d6.jpg,What material is the dustpan most likely made of?,Plastic,0
712CR48rA+L,24/24a066d6.jpg,How many broom and dustpan sets are sold together?,Three,0
712CR48rA+L,24/24a066d6.jpg,What color is the dustpan?,Black,1
