image_id,path,question,answer,difficulty
91k3E7TIAsL,50/5045b0c2.jpg,What is the headboard style?,Tufted,0
91k3E7TIAsL,50/5045b0c2.jpg,What fabric color is specified?,Gray,0
91k3E7TIAsL,50/5045b0c2.jpg,What size is the bed?,Queen,2
91k3E7TIAsL,50/5045b0c2.jpg,What is the product's width in inches?,Sixty-six,1
91k3E7TIAsL,50/5045b0c2.jpg,How long is the warranty in years?,One,0
91sEXGWnTKL,e0/e01be8fe.jpg,What material comprises the shoe?,Polyester,0
91sEXGWnTKL,e0/e01be8fe.jpg,What kind of closure does it have?,Lace-Up,0
91sEXGWnTKL,e0/e01be8fe.jpg,What lifestyle is indicated for the shoes?,Casual,3
91sEXGWnTKL,e0/e01be8fe.jpg,What color are the laces?,White,0
91sEXGWnTKL,e0/e01be8fe.jpg,What gender are these sneakers designed for?,Men,1
816ThO4RbSL,00/00f577fb.jpg,What brand of phone does this case fit?,Oppo,0
816ThO4RbSL,00/00f577fb.jpg,What is one type of button cut out on the case?,Volume,2
816ThO4RbSL,00/00f577fb.jpg,What is the design described as?,Stylish,0
816ThO4RbSL,00/00f577fb.jpg,What covers the phone's back?,Case,1
816ThO4RbSL,00/00f577fb.jpg,What kind of surface is the bezel supposed to lift the camera off of?,Flat,1
71-upQZbU2L,8c/8ca12613.jpg,What brand is on the phone case?,Apple,1
71-upQZbU2L,8c/8ca12613.jpg,What number iPhone is the case for?,Seven,0
71-upQZbU2L,8c/8ca12613.jpg,What color is the case predominantly?,Brown,0
71-upQZbU2L,8c/8ca12613.jpg,What is cut out on the case?,Logo,1
71-upQZbU2L,8c/8ca12613.jpg,What material makes up the back of the case?,Hard,0
91pwcGwZ9TL,5e/5e29df12.jpg,What flavor is advertised on the package?,Minty,0
91pwcGwZ9TL,5e/5e29df12.jpg,What unit is '1 LB' expressed in?,Ounces,1
91pwcGwZ9TL,5e/5e29df12.jpg,"What color is the word ""Chocolate"" on the packaging?",Red,1
91pwcGwZ9TL,5e/5e29df12.jpg,How many cookies are stacked together in the image?,Five,0
91pwcGwZ9TL,5e/5e29df12.jpg,How many grams of cookies are in the package?,454,1
610UdPGMKPL,f6/f67c5621.jpg,What color are the sliding doors?,Beige,1
610UdPGMKPL,f6/f67c5621.jpg,What is the main color of the furniture?,White,0
610UdPGMKPL,f6/f67c5621.jpg,What type of doors are on the shelf?,Sliding,0
610UdPGMKPL,f6/f67c5621.jpg,How many shelves are visible in the upper section?,Two,2
610UdPGMKPL,f6/f67c5621.jpg,What room is this furniture typically used in?,Bathroom,1
615ldI5z3yL,33/33d0d4e6.jpg,What shape is the bedside lamp's lampshade?,Cylinder,1
615ldI5z3yL,33/33d0d4e6.jpg,What is the apparent color of the bedding?,Yellow,1
615ldI5z3yL,33/33d0d4e6.jpg,How many drawers are visible on the nightstand?,Two,1
615ldI5z3yL,33/33d0d4e6.jpg,What texture are the walls?,Brick,0
615ldI5z3yL,33/33d0d4e6.jpg,What household object is displayed in the clear vase?,Plant,3
71b6VPIJxyL,71/71b9b5a3.jpg,Which material is the back case made of?,Hard,1
71b6VPIJxyL,71/71b9b5a3.jpg,What animal is depicted on the cover?,Bird,0
71b6VPIJxyL,71/71b9b5a3.jpg,Which brand is the cover designed for?,Asus,1
71b6VPIJxyL,71/71b9b5a3.jpg,What is the phone model?,Zenfone,1
71b6VPIJxyL,71/71b9b5a3.jpg,How is the design described?,Stylish,0
