image_id,path,question,answer,difficulty
71TRSnw+BfL,4c/4c05284d.jpg,What brand is printed on the back?,Huawei,0
71TRSnw+BfL,4c/4c05284d.jpg,"What word is above the word ""Girl?""",Daddy's,1
71TRSnw+BfL,4c/4c05284d.jpg,What material is this case made of?,Hard,0
71TRSnw+BfL,4c/4c05284d.jpg,What is the back cover described as?,Slim,3
71TRSnw+BfL,4c/4c05284d.jpg,For what device is this a cover?,Mobile,1
61vY9vC-MBL,98/982e82fa.jpg,What is the color mentioned in the description?,Dove,0
61vY9vC-MBL,98/982e82fa.jpg,What material is blended in the sofa?,Polyester,1
61vY9vC-MBL,98/982e82fa.jpg,What shape is the sectional sofa?,Left-facing,0
61vY9vC-MBL,98/982e82fa.jpg,How many days are given for free returns?,Thirty,0
61vY9vC-MBL,98/982e82fa.jpg,What is the width of the overall sofa?,Fifty-two,0
71qXvJLzyTL,87/87c11ce5.jpg,What is the primary color of the pillows?,White,0
71qXvJLzyTL,87/87c11ce5.jpg,How many pillows are pictured?,Four,5
71qXvJLzyTL,87/87c11ce5.jpg,What shape are the pillows?,Square,0
71qXvJLzyTL,87/87c11ce5.jpg,What is the texture of the pillows?,Smooth,1
71qXvJLzyTL,87/87c11ce5.jpg,What type of filling is likely inside?,Down,0
71mbNRBSGTL,a6/a630503c.jpg,How many watts are each bulb?,Five,0
71mbNRBSGTL,a6/a630503c.jpg,What shape are the bulbs?,Globe,0
71mbNRBSGTL,a6/a630503c.jpg,How long is each strand?,Fifty,1
71mbNRBSGTL,a6/a630503c.jpg,What color is the string?,Green,0
71mbNRBSGTL,a6/a630503c.jpg,How many volts is the base?,Hundred,0
71wnfjn4vKL,f3/f30d39bf.jpg,What phone brand does the case fit?,Samsung,0
71wnfjn4vKL,f3/f30d39bf.jpg,What material is the back cover made of?,Hard,1
71wnfjn4vKL,f3/f30d39bf.jpg,What generation of Galaxy phones is the case for?,Eighth,1
71wnfjn4vKL,f3/f30d39bf.jpg,What is a featured cutout?,Audio,1
71wnfjn4vKL,f3/f30d39bf.jpg,What design is printed on the case?,Ballerina,0
71AZU3SN9eL,91/91cca70b.jpg,What is the printed text above the crown?,DADDY'S,1
71AZU3SN9eL,91/91cca70b.jpg,What company manufactures the phone case?,Xiaomi,0
71AZU3SN9eL,91/91cca70b.jpg,What material is the case made of?,Hard,0
71AZU3SN9eL,91/91cca70b.jpg,What color is the background of the case?,Pink,0
71AZU3SN9eL,91/91cca70b.jpg,Which audio components have cutouts?,Audio,1
71Szrw1wxNL,e5/e50a6d29.jpg,What is the brand name?,HappyBelly,1
71Szrw1wxNL,e5/e50a6d29.jpg,What is the salsa's flavor profile?,Hot,0
71Szrw1wxNL,e5/e50a6d29.jpg,What quantity of salsa is in the jar?,24,0
71Szrw1wxNL,e5/e50a6d29.jpg,What is the salsa free from?,Gluten,0
71Szrw1wxNL,e5/e50a6d29.jpg,What other hot sauce is it comparable to?,Pace,1
71ax0xNZnvL,9f/9ff2f68c.jpg,What device is the cover for?,Lumia,1
71ax0xNZnvL,9f/9ff2f68c.jpg,What kind of design is on the cover?,Stylish,2
71ax0xNZnvL,9f/9ff2f68c.jpg,What is the cover made of?,Plastic,2
71ax0xNZnvL,9f/9ff2f68c.jpg,What function do the cutouts provide access to?,Ports,1
71ax0xNZnvL,9f/9ff2f68c.jpg,What part of the phone is protected by a raised bezel?,Camera,0
81sHh7JOoAL,3e/3eb121be.jpg,How many tissue sheets are on each roll?,Threehundredfifty,1
81sHh7JOoAL,3e/3eb121be.jpg,How many layers are on the bath tissue?,Two,1
81sHh7JOoAL,3e/3eb121be.jpg,What is the approximate square footage of the 6 rolls?,Twentyonepointnine,0
81sHh7JOoAL,3e/3eb121be.jpg,What is the phone number for satisfaction issues?,Oneeightsevenseven,0
81sHh7JOoAL,3e/3eb121be.jpg,What country is this product made in?,USA,1
